player_hash,weapon_name,shots,hits,damage_dealt,time,game_id,start_fight_time,player_name
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,18,4,87,2023-03-19 01:12:04,cf5a7ec786aa66d14115cae92497b89e,1679188318,SEN xenial
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,30,1,19,2023-03-19 01:12:02,cf5a7ec786aa66d14115cae92497b89e,1679188318,IcyRvR
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,13,2,109,2023-03-19 01:11:58,cf5a7ec786aa66d14115cae92497b89e,1679188318,Awons
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,6,3,64,2023-03-19 01:12:16,cf5a7ec786aa66d14115cae92497b89e,1679188318,STALLIONS_MNK
c1baf91fbbf238bf26d68a28118b5f93,Wingman,5,2,86,2023-03-19 01:12:08,cf5a7ec786aa66d14115cae92497b89e,1679188324,100T Onmuu
fdfb4782647a0bbe26eb080cfd82c788,G7 Scout,33,8,79,2023-03-19 01:12:21,cf5a7ec786aa66d14115cae92497b89e,1679188336,DZ Genburten
ebb81458a29f44e9c2c30c75008e3223,Nemesis Burst AR,88,29,199,2023-03-19 01:12:25,cf5a7ec786aa66d14115cae92497b89e,1679188336,DZ Zer0
0eb80444ef28d6458238a5019649ca8d,C.A.R. SMG,26,4,52,2023-03-19 01:12:43,cf5a7ec786aa66d14115cae92497b89e,1679188336,DZ Sharky
5c42f54bf25340c1634419d5ba9f1adc,G7 Scout,35,12,72,2023-03-19 01:12:49,cf5a7ec786aa66d14115cae92497b89e,1679188336,LG_Neazul
bf0f78ca27fc1bc6e41d462a81443f44,R-301 Carbine,69,48,101,2023-03-19 01:12:48,cf5a7ec786aa66d14115cae92497b89e,1679188336,OXG_Reedz
ce9b0da33897e72e62922937b7607261,C.A.R. SMG,20,5,10,2023-03-19 01:12:54,cf5a7ec786aa66d14115cae92497b89e,1679188336,OXG Aidan
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,27,10,86,2023-03-19 01:12:52,cf5a7ec786aa66d14115cae92497b89e,1679188336,LG_YanYa
960934dccecb1966f629a76b4951e1db,30-30 Repeater,34,5,59,2023-03-19 01:12:33,cf5a7ec786aa66d14115cae92497b89e,1679188336,LG_jaguares
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,11,1,26,2023-03-19 01:12:31,cf5a7ec786aa66d14115cae92497b89e,1679188346,IcyRvR
0eb80444ef28d6458238a5019649ca8d,Nemesis Burst AR,20,4,88,2023-03-19 01:12:38,cf5a7ec786aa66d14115cae92497b89e,1679188349,DZ Sharky
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,11,4,136,2023-03-19 01:12:56,cf5a7ec786aa66d14115cae92497b89e,1679188371,SEN xenial
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,22,3,58,2023-03-19 01:13:16,cf5a7ec786aa66d14115cae92497b89e,1679188389,IcyRvR
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,10,2,56,2023-03-19 01:13:50,cf5a7ec786aa66d14115cae92497b89e,1679188422,STALLIONS_MNK
8d19105a92cb9f9d1fca71876cdd4393,30-30 Repeater,2,2,101,2023-03-19 01:14:14,cf5a7ec786aa66d14115cae92497b89e,1679188438,CLG iShiny
f24e7260a3f3c93a188a568d60e56653,G7 Scout,29,1,24,2023-03-19 01:14:27,cf5a7ec786aa66d14115cae92497b89e,1679188462,DZ Sikezz
a98396ed0bec4dea8a862bc6441f8662,C.A.R. SMG,57,12,140,2023-03-19 01:14:33,cf5a7ec786aa66d14115cae92497b89e,1679188462,SEN xenial
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,6,1,32,2023-03-19 01:14:53,cf5a7ec786aa66d14115cae92497b89e,1679188462,SEN xenial
8d19105a92cb9f9d1fca71876cdd4393,30-30 Repeater,6,2,54,2023-03-19 01:14:44,cf5a7ec786aa66d14115cae92497b89e,1679188462,CLG iShiny
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,32,1,22,2023-03-19 01:14:44,cf5a7ec786aa66d14115cae92497b89e,1679188462,IcyRvR
aa01754c0e1ceafa3388fc83c6fd7612,G7 Scout,12,1,24,2023-03-19 01:14:42,cf5a7ec786aa66d14115cae92497b89e,1679188462,nano
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,8,4,120,2023-03-19 01:14:44,cf5a7ec786aa66d14115cae92497b89e,1679188462,LG_YanYa
2a1ee9636c3b8b522be7a6a8d1b80cec,Prowler Burst PDW,20,9,134,2023-03-19 01:14:48,cf5a7ec786aa66d14115cae92497b89e,1679188470,Enemy
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,10,4,156,2023-03-19 01:14:36,cf5a7ec786aa66d14115cae92497b89e,1679188470,Awons
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,2,2,76,2023-03-19 01:14:38,cf5a7ec786aa66d14115cae92497b89e,1679188470,STALLIONS_MNK
346913b6e46197c24cccb7311154bf68,Sentinel,3,2,131,2023-03-19 01:15:39,cf5a7ec786aa66d14115cae92497b89e,1679188526,XSET Nфcturnal
569ca0e6336924edb65e78c31edfb18b,VK-47 Flatline,12,5,82,2023-03-19 01:16:20,cf5a7ec786aa66d14115cae92497b89e,1679188570,N8V ProphetVM
e31aff22d20c1cf705ac34223022e421,30-30 Repeater,4,2,120,2023-03-19 01:16:15,cf5a7ec786aa66d14115cae92497b89e,1679188570,DIG Stuhni
f6fc1f2e54a0e4ed185b53465a2f33fd,Nemesis Burst AR,28,5,87,2023-03-19 01:16:18,cf5a7ec786aa66d14115cae92497b89e,1679188570,OpTic SkittleCakes
94cdbbde6995e7589f5e423a9c4fdf71,G7 Scout,18,2,64,2023-03-19 01:16:16,cf5a7ec786aa66d14115cae92497b89e,1679188570,OpTic Dropped
94cdbbde6995e7589f5e423a9c4fdf71,G7 Scout,20,2,56,2023-03-19 01:16:38,cf5a7ec786aa66d14115cae92497b89e,1679188592,OpTic Dropped
575e6d6c8fe9e70bb64ce1d028b0cc59,30-30 Repeater,8,2,78,2023-03-19 01:16:37,cf5a7ec786aa66d14115cae92497b89e,1679188592,OpTic knoqd
67051998624c33166c17aeb1588789d1,R-99 SMG,56,17,205,2023-03-19 01:17:05,cf5a7ec786aa66d14115cae92497b89e,1679188618,cce sauz
569ca0e6336924edb65e78c31edfb18b,C.A.R. SMG,59,17,199,2023-03-19 01:17:04,cf5a7ec786aa66d14115cae92497b89e,1679188618,N8V ProphetVM
b13b3acbbee10197c65acd8c41c9b76f,Prowler Burst PDW,15,4,60,2023-03-19 01:17:20,cf5a7ec786aa66d14115cae92497b89e,1679188618,DIG Stompez
e31aff22d20c1cf705ac34223022e421,R-99 SMG,59,18,191,2023-03-19 01:17:06,cf5a7ec786aa66d14115cae92497b89e,1679188618,DIG Stuhni
5c42f54bf25340c1634419d5ba9f1adc,R-99 SMG,25,9,100,2023-03-19 01:17:27,cf5a7ec786aa66d14115cae92497b89e,1679188618,LG_Neazul
5c42f54bf25340c1634419d5ba9f1adc,G7 Scout,15,2,64,2023-03-19 01:17:48,cf5a7ec786aa66d14115cae92497b89e,1679188618,LG_Neazul
a4a92e6e0047cf53bed6e3822768b5cb,Prowler Burst PDW,30,7,109,2023-03-19 01:17:31,cf5a7ec786aa66d14115cae92497b89e,1679188618,LG_YanYa
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,14,3,108,2023-03-19 01:17:47,cf5a7ec786aa66d14115cae92497b89e,1679188618,LG_YanYa
960934dccecb1966f629a76b4951e1db,30-30 Repeater,9,1,4,2023-03-19 01:17:47,cf5a7ec786aa66d14115cae92497b89e,1679188618,LG_jaguares
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,15,2,64,2023-03-19 01:19:22,cf5a7ec786aa66d14115cae92497b89e,1679188758,STALLIONS_MNK
2f59e209a0248ee7529753e6fabf33af,Wingman,11,4,156,2023-03-19 01:19:21,cf5a7ec786aa66d14115cae92497b89e,1679188758,Flinzar
2c69a0e3515bccb93b3497f013e90fef,Rampage LMG,33,3,78,2023-03-19 01:19:27,cf5a7ec786aa66d14115cae92497b89e,1679188758,IcyRvR
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,17,6,184,2023-03-19 01:19:24,cf5a7ec786aa66d14115cae92497b89e,1679188758,SEN xenial
346913b6e46197c24cccb7311154bf68,Sentinel,4,1,70,2023-03-19 01:19:56,cf5a7ec786aa66d14115cae92497b89e,1679188789,XSET Nфcturnal
e40ef66e8e25d6ddfc918c09ee2f998e,Nemesis Burst AR,16,3,43,2023-03-19 01:20:03,cf5a7ec786aa66d14115cae92497b89e,1679188789,OXG Hill
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,7,1,37,2023-03-19 01:19:53,cf5a7ec786aa66d14115cae92497b89e,1679188790,Awons
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,6,2,56,2023-03-19 01:20:00,cf5a7ec786aa66d14115cae92497b89e,1679188790,STALLIONS_MNK
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,6,1,32,2023-03-19 01:20:00,cf5a7ec786aa66d14115cae92497b89e,1679188796,STALLIONS_MNK
960934dccecb1966f629a76b4951e1db,30-30 Repeater,3,1,44,2023-03-19 01:20:00,cf5a7ec786aa66d14115cae92497b89e,1679188796,LG_jaguares
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,10,2,64,2023-03-19 01:20:22,cf5a7ec786aa66d14115cae92497b89e,1679188813,LG_YanYa
b091cda25facea14b9efbb38ab26b2cb,30-30 Repeater,15,3,132,2023-03-19 01:20:51,cf5a7ec786aa66d14115cae92497b89e,1679188846,100T Vaxlon
9ec60020827b2f34a6d6e97df413b076,VK-47 Flatline,61,9,172,2023-03-19 01:21:03,cf5a7ec786aa66d14115cae92497b89e,1679188846,LG Sweet
63ae91a60fe2563b24d75c5fffbf61e2,Nemesis Burst AR,32,7,95,2023-03-19 01:21:03,cf5a7ec786aa66d14115cae92497b89e,1679188846,NRG_Gild
de1b60e8b27f79ff96acbf761509aca1,G7 Scout,50,17,524,2023-03-19 01:21:17,cf5a7ec786aa66d14115cae92497b89e,1679188870,Dezignful
f6fc1f2e54a0e4ed185b53465a2f33fd,R-99 SMG,25,1,12,2023-03-19 01:21:34,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic SkittleCakes
f6fc1f2e54a0e4ed185b53465a2f33fd,Nemesis Burst AR,140,38,636,2023-03-19 01:23:16,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic SkittleCakes
94cdbbde6995e7589f5e423a9c4fdf71,G7 Scout,84,18,476,2023-03-19 01:21:22,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic Dropped
94cdbbde6995e7589f5e423a9c4fdf71,Alternator SMG,72,9,124,2023-03-19 01:23:24,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic Dropped
94cdbbde6995e7589f5e423a9c4fdf71,R-99 SMG,19,2,24,2023-03-19 01:24:51,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic Dropped
575e6d6c8fe9e70bb64ce1d028b0cc59,30-30 Repeater,45,7,323,2023-03-19 01:21:23,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic knoqd
575e6d6c8fe9e70bb64ce1d028b0cc59,R-99 SMG,87,18,204,2023-03-19 01:23:24,cf5a7ec786aa66d14115cae92497b89e,1679188870,OpTic knoqd
960934dccecb1966f629a76b4951e1db,30-30 Repeater,34,2,99,2023-03-19 01:21:12,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_jaguares
960934dccecb1966f629a76b4951e1db,C.A.R. SMG,86,28,338,2023-03-19 01:24:26,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_jaguares
346913b6e46197c24cccb7311154bf68,Sentinel,10,2,140,2023-03-19 01:21:14,cf5a7ec786aa66d14115cae92497b89e,1679188870,XSET Nфcturnal
346913b6e46197c24cccb7311154bf68,Nemesis Burst AR,92,26,410,2023-03-19 01:21:59,cf5a7ec786aa66d14115cae92497b89e,1679188870,XSET Nфcturnal
e51f1ad63a966ea24031eddd59992150,Nemesis Burst AR,76,20,316,2023-03-19 01:21:36,cf5a7ec786aa66d14115cae92497b89e,1679188870,E8 Chaotic
e51f1ad63a966ea24031eddd59992150,R-99 SMG,28,8,92,2023-03-19 01:24:43,cf5a7ec786aa66d14115cae92497b89e,1679188870,E8 Chaotic
b39fe3cd354bbc9a4cacea5ff335bf31,G7 Scout,117,12,384,2023-03-19 01:21:16,cf5a7ec786aa66d14115cae92497b89e,1679188870,sauceror
b39fe3cd354bbc9a4cacea5ff335bf31,C.A.R. SMG,26,1,13,2023-03-19 01:21:58,cf5a7ec786aa66d14115cae92497b89e,1679188870,sauceror
5c42f54bf25340c1634419d5ba9f1adc,G7 Scout,23,8,248,2023-03-19 01:21:46,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_Neazul
5c42f54bf25340c1634419d5ba9f1adc,R-99 SMG,178,32,385,2023-03-19 01:21:57,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_Neazul
f24e7260a3f3c93a188a568d60e56653,G7 Scout,74,11,340,2023-03-19 01:21:21,cf5a7ec786aa66d14115cae92497b89e,1679188870,DZ Sikezz
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,67,7,191,2023-03-19 01:21:12,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_YanYa
a4a92e6e0047cf53bed6e3822768b5cb,Prowler Burst PDW,100,16,210,2023-03-19 01:22:13,cf5a7ec786aa66d14115cae92497b89e,1679188870,LG_YanYa
aa01754c0e1ceafa3388fc83c6fd7612,G7 Scout,61,10,324,2023-03-19 01:21:49,cf5a7ec786aa66d14115cae92497b89e,1679188870,nano
2f59e209a0248ee7529753e6fabf33af,Wingman,6,1,45,2023-03-19 01:21:59,cf5a7ec786aa66d14115cae92497b89e,1679188870,Flinzar
7901ec15bce17f76a17fc3a7c631337b,R-301 Carbine,110,13,160,2023-03-19 01:21:51,cf5a7ec786aa66d14115cae92497b89e,1679188870,N8V Mamba
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,66,15,392,2023-03-19 01:21:21,cf5a7ec786aa66d14115cae92497b89e,1679188870,SEN xenial
a98396ed0bec4dea8a862bc6441f8662,C.A.R. SMG,26,12,153,2023-03-19 01:24:19,cf5a7ec786aa66d14115cae92497b89e,1679188870,SEN xenial
8d19105a92cb9f9d1fca71876cdd4393,30-30 Repeater,30,4,123,2023-03-19 01:21:48,cf5a7ec786aa66d14115cae92497b89e,1679188870,CLG iShiny
8d19105a92cb9f9d1fca71876cdd4393,R-99 SMG,25,2,26,2023-03-19 01:24:33,cf5a7ec786aa66d14115cae92497b89e,1679188870,CLG iShiny
2a1ee9636c3b8b522be7a6a8d1b80cec,VK-47 Flatline,139,7,118,2023-03-19 01:21:17,cf5a7ec786aa66d14115cae92497b89e,1679188870,Enemy
2a1ee9636c3b8b522be7a6a8d1b80cec,R-99 SMG,51,31,337,2023-03-19 01:22:44,cf5a7ec786aa66d14115cae92497b89e,1679188870,Enemy
e57aed7e71228706f77428bdc6d84476,VK-47 Flatline,45,2,39,2023-03-19 01:21:16,cf5a7ec786aa66d14115cae92497b89e,1679188870,FURIA HisWattson
7bbd55e81168add79e603ec83914faae,Nemesis Burst AR,48,19,312,2023-03-19 01:21:12,cf5a7ec786aa66d14115cae92497b89e,1679188870,DeToX
7bbd55e81168add79e603ec83914faae,R-99 SMG,25,7,80,2023-03-19 01:22:00,cf5a7ec786aa66d14115cae92497b89e,1679188870,DeToX
e40ef66e8e25d6ddfc918c09ee2f998e,Nemesis Burst AR,88,13,211,2023-03-19 01:21:31,cf5a7ec786aa66d14115cae92497b89e,1679188870,OXG Hill
32446dfa2dad1d3cada27df1506fd4d4,Prowler Burst PDW,115,36,473,2023-03-19 01:22:25,cf5a7ec786aa66d14115cae92497b89e,1679188870,E8 Zachmazer
32446dfa2dad1d3cada27df1506fd4d4,Sentinel,6,1,105,2023-03-19 01:21:32,cf5a7ec786aa66d14115cae92497b89e,1679188870,E8 Zachmazer
91e1bc62baef92fce6335d3441f03b7d,Nemesis Burst AR,56,10,180,2023-03-19 01:21:25,cf5a7ec786aa66d14115cae92497b89e,1679188870,FaZe Xera
91e1bc62baef92fce6335d3441f03b7d,Prowler Burst PDW,55,14,194,2023-03-19 01:24:24,cf5a7ec786aa66d14115cae92497b89e,1679188870,FaZe Xera
db01d8ba3102a82cf95f0e9a2196946e,Alternator SMG,46,10,162,2023-03-19 01:24:34,cf5a7ec786aa66d14115cae92497b89e,1679188870,XSET FunFPS
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,35,2,72,2023-03-19 01:21:15,cf5a7ec786aa66d14115cae92497b89e,1679188870,Awons
8d6d73b05c1bd6de120cc92676113f72,R-99 SMG,25,2,26,2023-03-19 01:22:00,cf5a7ec786aa66d14115cae92497b89e,1679188870,Awons
2377583ab85e432c8aee7b867e2735da,R-99 SMG,95,26,298,2023-03-19 01:22:58,cf5a7ec786aa66d14115cae92497b89e,1679188870,scuwry
133837af44460c245979db09921c2a1d,R-99 SMG,110,20,236,2023-03-19 01:23:10,cf5a7ec786aa66d14115cae92497b89e,1679188870,NRG Nafen
133837af44460c245979db09921c2a1d,Charge Rifle,26,13,127,2023-03-19 01:21:27,cf5a7ec786aa66d14115cae92497b89e,1679188870,NRG Nafen
c63855837ba5cd06fae8cbe3a394b2ff,G7 Scout,25,4,147,2023-03-19 01:22:15,cf5a7ec786aa66d14115cae92497b89e,1679188870,STALLIONS_MNK
63ae91a60fe2563b24d75c5fffbf61e2,C.A.R. SMG,111,14,167,2023-03-19 01:22:52,cf5a7ec786aa66d14115cae92497b89e,1679188870,NRG_Gild
22a44dcdfb542727c0bab21b08ad11f0,R-301 Carbine,102,4,46,2023-03-19 01:21:16,cf5a7ec786aa66d14115cae92497b89e,1679188870,Impulse
22a44dcdfb542727c0bab21b08ad11f0,Prowler Burst PDW,20,3,36,2023-03-19 01:24:34,cf5a7ec786aa66d14115cae92497b89e,1679188870,Impulse
1062d795b930c46805ccb4ea804992dc,Sentinel,17,4,275,2023-03-19 01:21:11,cf5a7ec786aa66d14115cae92497b89e,1679188870,PrideAsura
1062d795b930c46805ccb4ea804992dc,Prowler Burst PDW,30,6,81,2023-03-19 01:25:27,cf5a7ec786aa66d14115cae92497b89e,1679188870,PrideAsura
fec9fd0b68541b0d7107370129415ff7,R-99 SMG,66,24,280,2023-03-19 01:24:24,cf5a7ec786aa66d14115cae92497b89e,1679188870,FaZe_Pandxrz
fec9fd0b68541b0d7107370129415ff7,Wingman,10,1,45,2023-03-19 01:21:20,cf5a7ec786aa66d14115cae92497b89e,1679188870,FaZe_Pandxrz
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,10,2,76,2023-03-19 01:21:21,cf5a7ec786aa66d14115cae92497b89e,1679188878,SEN xenial
e40ef66e8e25d6ddfc918c09ee2f998e,Nemesis Burst AR,20,1,13,2023-03-19 01:21:31,cf5a7ec786aa66d14115cae92497b89e,1679188878,OXG Hill
a4a92e6e0047cf53bed6e3822768b5cb,G7 Scout,16,5,144,2023-03-19 01:21:33,cf5a7ec786aa66d14115cae92497b89e,1679188880,LG_YanYa
91e1bc62baef92fce6335d3441f03b7d,Nemesis Burst AR,16,6,86,2023-03-19 01:21:25,cf5a7ec786aa66d14115cae92497b89e,1679188881,FaZe Xera
e40ef66e8e25d6ddfc918c09ee2f998e,Nemesis Burst AR,20,5,83,2023-03-19 01:21:46,cf5a7ec786aa66d14115cae92497b89e,1679188901,OXG Hill
2a1ee9636c3b8b522be7a6a8d1b80cec,VK-47 Flatline,55,10,156,2023-03-19 01:21:45,cf5a7ec786aa66d14115cae92497b89e,1679188901,Enemy
8d6d73b05c1bd6de120cc92676113f72,30-30 Repeater,6,1,42,2023-03-19 01:21:45,cf5a7ec786aa66d14115cae92497b89e,1679188901,Awons
8d6d73b05c1bd6de120cc92676113f72,R-99 SMG,25,8,94,2023-03-19 01:22:00,cf5a7ec786aa66d14115cae92497b89e,1679188901,Awons
aa01754c0e1ceafa3388fc83c6fd7612,G7 Scout,21,1,32,2023-03-19 01:21:49,cf5a7ec786aa66d14115cae92497b89e,1679188901,nano
ce9b0da33897e72e62922937b7607261,C.A.R. SMG,19,19,232,2023-03-19 01:21:56,cf5a7ec786aa66d14115cae92497b89e,1679188901,OXG Aidan
a98396ed0bec4dea8a862bc6441f8662,G7 Scout,24,2,56,2023-03-19 01:21:41,cf5a7ec786aa66d14115cae92497b89e,1679188901,SEN xenial
0eb80444ef28d6458238a5019649ca8d,R-99 SMG,24,9,100,2023-03-19 01:21:55,cf5a7ec786aa66d14115cae92497b89e,1679188901,DZ Sharky
7bbd55e81168add79e603ec83914faae,R-99 SMG,16,1,15,2023-03-19 01:22:00,cf5a7ec786aa66d14115cae92497b89e,1679188901,DeToX
7901ec15bce17f76a17fc3a7c631337b,R-301 Carbine,70,2,34,2023-03-19 01:21:51,cf5a7ec786aa66d14115cae92497b89e,1679188901,N8V Mamba
2ba6a37ac43e62ed4b762c84f2d530e7,C.A.R. SMG,18,8,110,2023-03-19 01:21:51,cf5a7ec786aa66d14115cae92497b89e,1679188908,Caprah
b091cda25facea14b9efbb38ab26b2cb,30-30 Repeater,3,1,39,2023-03-19 01:22:44,cf5a7ec786aa66d14115cae92497b89e,1679188953,100T Vaxlon
63ae91a60fe2563b24d75c5fffbf61e2,C.A.R. SMG,26,3,33,2023-03-19 01:22:56,cf5a7ec786aa66d14115cae92497b89e,1679188974,NRG_Gild
2377583ab85e432c8aee7b867e2735da,R-99 SMG,43,5,55,2023-03-19 01:22:58,cf5a7ec786aa66d14115cae92497b89e,1679188974,scuwry
f6fc1f2e54a0e4ed185b53465a2f33fd,Nemesis Burst AR,36,4,64,2023-03-19 01:25:57,cf5a7ec786aa66d14115cae92497b89e,1679189146,OpTic SkittleCakes
f6fc1f2e54a0e4ed185b53465a2f33fd,R-99 SMG,58,18,208,2023-03-19 01:26:01,cf5a7ec786aa66d14115cae92497b89e,1679189146,OpTic SkittleCakes
1062d795b930c46805ccb4ea804992dc,Prowler Burst PDW,35,2,33,2023-03-19 01:25:49,cf5a7ec786aa66d14115cae92497b89e,1679189146,PrideAsura
b39fe3cd354bbc9a4cacea5ff335bf31,C.A.R. SMG,31,1,13,2023-03-19 01:25:51,cf5a7ec786aa66d14115cae92497b89e,1679189146,sauceror
575e6d6c8fe9e70bb64ce1d028b0cc59,R-99 SMG,89,8,93,2023-03-19 01:25:54,cf5a7ec786aa66d14115cae92497b89e,1679189146,OpTic knoqd
346913b6e46197c24cccb7311154bf68,Nemesis Burst AR,32,2,30,2023-03-19 01:26:19,cf5a7ec786aa66d14115cae92497b89e,1679189146,XSET Nфcturnal
f24e7260a3f3c93a188a568d60e56653,Wingman,7,1,41,2023-03-19 01:25:48,cf5a7ec786aa66d14115cae92497b89e,1679189146,DZ Sikezz
94cdbbde6995e7589f5e423a9c4fdf71,R-99 SMG,76,1,2,2023-03-19 01:25:51,cf5a7ec786aa66d14115cae92497b89e,1679189146,OpTic Dropped
94cdbbde6995e7589f5e423a9c4fdf71,R-99 SMG,65,5,56,2023-03-19 01:25:51,cf5a7ec786aa66d14115cae92497b89e,1679189148,OpTic Dropped
b39fe3cd354bbc9a4cacea5ff335bf31,C.A.R. SMG,31,7,85,2023-03-19 01:25:51,cf5a7ec786aa66d14115cae92497b89e,1679189148,sauceror
22a44dcdfb542727c0bab21b08ad11f0,Prowler Burst PDW,33,8,118,2023-03-19 01:25:48,cf5a7ec786aa66d14115cae92497b89e,1679189148,Impulse
575e6d6c8fe9e70bb64ce1d028b0cc59,R-99 SMG,83,13,151,2023-03-19 01:25:54,cf5a7ec786aa66d14115cae92497b89e,1679189148,OpTic knoqd
f6fc1f2e54a0e4ed185b53465a2f33fd,Nemesis Burst AR,12,4,68,2023-03-19 01:26:25,cf5a7ec786aa66d14115cae92497b89e,1679189179,OpTic SkittleCakes
346913b6e46197c24cccb7311154bf68,Nemesis Burst AR,60,1,17,2023-03-19 01:26:19,cf5a7ec786aa66d14115cae92497b89e,1679189179,XSET Nфcturnal
db01d8ba3102a82cf95f0e9a2196946e,R-99 SMG,74,8,92,2023-03-19 01:26:26,cf5a7ec786aa66d14115cae92497b89e,1679189179,XSET FunFPS
f6fc1f2e54a0e4ed185b53465a2f33fd,Nemesis Burst AR,20,5,89,2023-03-19 01:27:03,cf5a7ec786aa66d14115cae92497b89e,1679189218,OpTic SkittleCakes
346913b6e46197c24cccb7311154bf68,Nemesis Burst AR,24,1,13,2023-03-19 01:27:35,cf5a7ec786aa66d14115cae92497b89e,1679189255,XSET Nфcturnal
f6fc1f2e54a0e4ed185b53465a2f33fd,R-99 SMG,111,22,262,2023-03-19 01:28:09,cf5a7ec786aa66d14115cae92497b89e,1679189272,OpTic SkittleCakes
346913b6e46197c24cccb7311154bf68,Nemesis Burst AR,44,7,109,2023-03-19 01:28:18,cf5a7ec786aa66d14115cae92497b89e,1679189272,XSET Nфcturnal
346913b6e46197c24cccb7311154bf68,Alternator SMG,7,2,32,2023-03-19 01:28:42,cf5a7ec786aa66d14115cae92497b89e,1679189272,XSET Nфcturnal
db01d8ba3102a82cf95f0e9a2196946e,R-99 SMG,79,11,133,2023-03-19 01:27:52,cf5a7ec786aa66d14115cae92497b89e,1679189272,XSET FunFPS
